name,count,precision mean,precision std,recall mean,recall std,mcc mean,mcc std
FractionCurrying,8,28.176609967156637,24.9359040949523,39.45864883573392,47.2133902118225,0.03529267206173437,0.06797401430403545
FractionFunctionCalls,8,20.579387477485565,16.971394636997026,94.6143517352408,8.883420778690327,-0.008441301797937062,0.06621094326245092
FractionFunctions,8,22.856715749742776,18.560093965147974,54.372974645040856,29.3188638989604,0.0037882367500466363,0.07160148546918446
FractionHigherOrderCalls,8,28.224073766876238,15.136040403715873,41.97669951221279,27.80427111235232,0.020045261763997235,0.11801075065990434
FractionInnerVariableAssignment,8,11.905742204655247,30.805803430658997,12.67529013539652,35.28792319575893,0.0165432862139766,0.035590119898111054
FractionLazyValues,8,30.64517464773439,29.55591798453483,40.22128477810123,48.782677952736975,0.05294880685013726,0.09846373267139436
FractionNestedMethods,8,8.333333333333332,23.570226039551585,0.03626692456479691,0.1025783531701955,0.004630465967521925,0.013096935542753124
FractionOuterVariableAssignment,8,22.078994832873867,25.063016625425526,39.79343091772567,49.756795432244715,0.021830710416037777,0.07159737854883969
FractionOuterVariableUsage,8,26.740323254089205,24.994124346957822,49.73914484664188,45.7594159246534,0.03360261637430953,0.08489632555063206
FractionPatternMatching,8,33.13221708098381,20.292368837001856,44.725714420027536,42.50791970208387,0.07459463303915206,0.08953420436812703
FractionRecursiveCalls,8,27.088092699766474,39.78178919053689,12.534286470943417,35.3231362832464,0.01126612859371675,0.016105739806497293
FractionSideEffectCalls,8,26.192511941614114,19.572373083152435,62.989592450123226,43.965647962488056,0.03253436287028552,0.07298050412311043
FractionSideEffectFunctions,8,29.72482214951272,35.508943491565546,36.70821802444248,49.778994925850824,0.0244700233158162,0.02585740178059297
FractionSideEffects,8,28.328839251425222,20.14517929978649,48.36740358375249,30.52699022378343,0.09226130497507062,0.12274440585119577
FractionVariableDefinitions,8,0.0,0.0,0.0,0.0,0.0,0.0
FractionVariables,8,26.740470489455586,24.994037834784912,49.73914484664188,45.7594159246534,0.03361468590532614,0.08488022577378132
FunctionalScoreFraction,8,27.56466508817764,20.584826502062977,41.772626761557774,7.580927347361341,0.11093169139351854,0.0763703828135348
HasFunctionParameters,8,31.23840789574409,22.788505761125087,30.774606404901775,20.849352475646295,0.09757796300422615,0.06963815206558942
HasMultipleParameterLists,8,35.78967311399189,27.447611779535055,35.797686959234284,16.35079127198615,0.16455158020887867,0.11229334349238546
HasPointsFraction,8,27.269864229391636,21.181670058870736,50.96491787444239,6.690733780411843,0.12427533779170391,0.09309618034961595
ImperativeScoreFraction,8,27.71890295645464,19.9367592478118,46.003899399748136,32.05764946912895,0.0816174335289923,0.1161578440833742
IsFunction,8,22.609710161638144,20.460224707580345,73.40413155750991,35.18591333881362,0.0025137759006250895,0.06343592207359341
IsNested,8,13.565261789825474,35.051992957733894,11.28993002738059,31.8038674240107,0.0038010708840638253,0.015018836706192458
IsSideEffect,8,28.5589968078659,20.183430776388803,48.87895293300132,30.201159446151678,0.09297477179646833,0.12400283321063847
ParadigmScoreFraction,8,26.233122924605215,22.504882942625905,48.386260182538294,8.120649726397223,0.07600254551809135,0.1390741086033468
